date,ticker,embed_pca16_00,embed_pca16_01,embed_pca16_02,embed_pca16_03,embed_pca16_04,embed_pca16_05,embed_pca16_06,embed_pca16_07,embed_pca16_08,embed_pca16_09,embed_pca16_10,embed_pca16_11,embed_pca16_12,embed_pca16_13,embed_pca16_14,embed_pca16_15
2025-08-11,AAPL,-0.100405596,0.042432614,-0.28032643,0.09138124,0.3746149,0.013314586,0.056122996,0.14704137,0.1302006,0.18739244,-0.040760696,-0.12717806,0.08850577,-0.15888858,0.18985483,0.021320855
2025-08-11,AAPL,0.15880251,-0.08707155,-0.018717742,0.060161553,0.34220916,0.043886922,0.30733526,0.24563794,0.08162349,0.056533743,0.048588786,-0.027101133,-0.04591622,-0.010580987,0.03487553,-0.002184112
2025-08-12,AAPL,-0.1588605,-0.015887665,-0.10353949,0.08501866,0.35986504,-0.016946623,0.0991276,0.19219732,0.119198434,0.18968743,0.13658784,-0.043610793,0.022901714,-0.045533758,0.05204174,0.009370133
2025-08-12,AAPL,0.26846313,-0.08658013,0.012224407,0.17856114,0.34337205,-0.045946132,0.2907876,0.26524055,-0.026427358,-0.008392261,0.054720633,-0.11990917,-0.06347134,0.025675343,0.08826778,0.03963435
2025-08-14,AAPL,-0.25100645,-0.01659285,-0.09000597,0.0058192373,0.18280676,-0.006991961,0.039112482,0.14281847,0.1875663,0.17980777,0.095820904,0.06374837,0.072029606,0.11736515,0.01215123,0.07599551
2025-08-14,AAPL,0.039647486,-0.110555135,-0.13835555,0.09662498,0.15098543,0.024899416,0.20122555,0.18893193,0.038801532,0.11898003,0.08977987,0.07383981,-0.018390829,0.023209183,-0.11804701,-0.024629576
2025-08-14,AAPL,0.24309725,-0.15000576,0.054027658,0.0429942,0.05317858,-0.07871348,0.0697238,0.1891078,0.04696852,-0.16896728,0.1821658,0.040825676,0.004904478,-0.19112752,0.018593255,-0.046855096
2025-08-15,AAPL,-0.15988874,-0.13445844,-0.29631826,0.12250469,0.20313369,0.049757317,0.11606479,0.034544416,0.03086743,0.1672894,0.24039622,0.20541328,-0.11631673,0.07363608,-0.13724875,0.11360564
2025-08-15,AAPL,-0.1990283,-0.04354634,-0.12835725,0.050472483,0.2204959,0.058132242,0.13468206,0.075305164,0.106175736,0.19781312,0.013488033,-0.086143844,0.014620159,-0.008263907,-0.024391498,0.034330342
2025-08-16,AAPL,-0.16680908,-0.01470014,-0.23432726,-0.024391886,0.38337106,0.043730486,0.176567,0.18527155,0.10818392,0.18901673,0.111182235,-0.0038531758,0.0039407643,-0.010320545,-0.035488717,-0.031997107
2025-08-16,AAPL,0.0013990093,0.07284186,-0.1117425,-0.030530812,0.45897356,-0.048927654,0.14930886,0.16536334,0.085877575,0.06282287,-0.013161816,-0.098706596,0.18580976,-0.14149421,0.053349424,-0.055781282
