date,ticker,s_sent_score,s_sent_score_decay3,t_p_pos,t_p_neu,t_p_neg,t_p_pos_decay3,t_p_neu_decay3,t_p_neg_decay3,e_embed_pca16_00,e_embed_pca16_01,e_embed_pca16_02,e_embed_pca16_03,e_embed_pca16_04,e_embed_pca16_05,e_embed_pca16_06,e_embed_pca16_07,e_embed_pca16_08,e_embed_pca16_09,e_embed_pca16_10,e_embed_pca16_11,e_embed_pca16_12,e_embed_pca16_13,e_embed_pca16_14,e_embed_pca16_15,event_weight
2025-08-12,AAPL,0.3263434199616313,0.3263434199616313,0.44952956307679415,0.4272842779755592,0.12318614311516281,0.44952956307679415,0.4272842779755592,0.12318614311516281,0.04664464999999998,-0.02483346995,-0.02340847,0.36092700499999997,-0.023547864,0.14175400500000002,0.2442105,-0.12086900249999999,0.11948777799999999,-0.135921215,0.016772895,0.04020970249999999,-0.0216822475,-0.009606212500000003,-0.019434438999999998,0.008867704000000004,0.0
2025-08-14,AAPL,-0.27407644471774506,0.02613348762194312,0.15265120162318147,0.4206211281319459,0.42672764634092647,0.3010903823499878,0.42395270305375254,0.27495689472804463,0.007973790666666666,-0.06997543633333334,-0.06310267836666666,0.15155503666666667,-0.018998638333333335,0.03931416327666667,0.20792186,-0.044793436033333335,0.06068237666666667,-0.12383429,-0.051226973666666675,-0.05932663800000001,-0.01101858233333333,0.007657646999999999,-0.008108336666666665,-0.017616127333333332,0.0
2025-08-15,AAPL,-0.0785254389047622,-0.02619597564140954,0.0436078384518623,0.8342588543891907,0.1221332773566246,0.17234911040092504,0.6291057787214716,0.19854508604233462,-0.15682638,-0.093328856,-0.21283887,0.29452953,-0.05138412,0.06701109,0.062209014,-0.035294034,0.12848902,-0.27049655,-0.20269904,0.021375282,-0.07337695,0.1595548,-0.0073504294,0.03150485,0.0
2025-08-16,AAPL,0.1167373284697532,0.04527067641417183,0.1406008843332529,0.8355355560779572,0.0238635558634996,0.15647499736708897,0.7323206673997144,0.1112043209529171,-0.1242904185,-0.003914101,-0.19518817500000002,0.38675865,-0.01211498165,0.15940523499999998,0.16794508,-0.089939627,0.18804515,-0.052895988000000005,-0.0368559265,-0.0795500202,0.0079879335,-0.11000717,-0.08240771,-0.004940412500000005,0.0
2025-08-17,AAPL,0.0312240999191999,0.03824738816668587,0.0532552190124988,0.9247136116027832,0.0220311190932989,0.10486510818979389,0.8285171395012487,0.066617720023108,-0.20261955,0.04790548,-0.18673913,0.39068443,-0.10874304,0.107169986,0.0950877,-0.05039866,0.25765806,-0.10889247,0.093928136,0.0112253055,0.14106032,-0.13512915,0.06573467,0.06185393,0.0
2025-08-18,AAPL,-0.0073697753250598,0.015438806420813033,0.0337868109345436,0.9250565767288208,0.0411565862596035,0.06932595956216875,0.8767868581150348,0.053887153141355754,-0.25025967,-0.060927533,-0.21611832,0.3675875,-0.043919522,0.16658816,0.11454384,-0.10477247,0.15826839,-0.09261442,-0.036476538,-0.15271439,0.04174278,-0.10533248,0.091788396,0.027838612,0.0
2025-08-19,AAPL,0.0031397677958011,0.009289287108307067,0.0245281737297773,0.9540834426879884,0.0213884059339761,0.04692706664597303,0.9154351504015116,0.03763777953766593,0.040426776,-0.052314747,-0.16250525,0.29000515,0.029647456,0.07408986,0.23289162,-0.044719025,0.15384,-0.07240705,-0.025484698,0.1681433,-0.014993858,0.034124143,-0.056140613,0.09092586,0.0
2025-08-20,AAPL,-0.2260731197893619,-0.10839191634052742,0.0442334376275539,0.6854600310325623,0.2703065574169159,0.04558025213676346,0.800447590717037,0.15397216847729092,-0.1251274,-0.13998403,-0.14206643,0.2688992,-0.048654087,0.079055056,0.11284588,-0.07274581,0.11824097,-0.30351153,-0.20246679,-0.10529174,-0.010656417,0.092158444,0.0052155955,-0.02741131,0.0
2025-08-21,AAPL,0.8603024883195758,0.3759552859895242,0.8712211847305298,0.1178601756691932,0.0109186964109539,0.4584007184336466,0.45915388319311506,0.0824454324441224,0.039376397,-0.04072248,0.0945771,0.2914383,0.03770579,0.1039653,0.19361578,-0.016931076,0.019195186,-0.034901753,0.031936914,-0.009619158,-0.012746915,-0.17392953,-0.090432145,0.0143406475,0.0
2025-08-23,AAPL,0.012620885856449549,0.19428808592298688,0.037221007049083696,0.9381788671016693,0.02460012119263405,0.24781086274136516,0.6986663751473922,0.05352277681837823,-0.147084505,0.012429723000000004,-0.22067622,0.30973716,-0.0750437415,0.15199031000000002,0.053930425,-0.02481121,0.1298378325,-0.1048974075,0.04122571,0.013986792999999997,0.12611958750000002,-0.11232950099999998,0.025135785000000004,-0.0314788885,0.0
